ATIVO;DESC ATIVO;COMPONENTE;PROJETO;MDO;CODIGO;DESC CODIGO;FATOR I;FATOR R;FILTRO
C10;CONECTOR CUNHA 1/0 1/0 C/ CART. PVC;CC10-10;RONDONIA;MATERIAL;90487;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL;1.0;1.0;
;CONECTOR CUNHA 1/0 1/0 C/ CART. PVC;CC10-10;RONDONIA;MATERIAL;90791;CONECTOR CUNHA ALUM CN-10 8,23-14,53/4,11-11,79MM AZL;1.0;1.0;
;CONECTOR CUNHA 120 C 185;CC120-185P;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;3.0;3.0;
C185120;CONECTOR CUNHA 120 C 185;CC120-185P;RONDONIA;MATERIAL;90888;CAPA PROT CONECTOR CUNHA 15KV 166X100MM SERIE AZUL;3.0;3.0;
;CONECTOR CUNHA 120 C 185;CC120-185P;RONDONIA;MATERIAL;90487;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL;3.0;3.0;
;CONECTOR CUNHA 120 C 185;CC120-185P;RONDONIA;MATERIAL;90796;CONECTOR CUNHA ALUM CN-02 15,24-17,37/11,68-17,37MM AZL;3.0;3.0;
;CONECTOR CUNHA 185 C 185;CC185-185P;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;3.0;3.0;
;CONECTOR CUNHA 185 C 185;CC185-185P;RONDONIA;MATERIAL;90888;CAPA PROT CONECTOR CUNHA 15KV 166X100MM SERIE AZUL;3.0;3.0;
;CONECTOR CUNHA 185 C 185;CC185-185P;RONDONIA;MATERIAL;90487;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL;3.0;3.0;
;CONECTOR CUNHA 185 C 185;CC185-185P;RONDONIA;MATERIAL;90796;CONECTOR CUNHA ALUM CN-02 15,24-17,37/11,68-17,37MM AZL;3.0;3.0;
;CONECTOR CUNHA 2 AWG PARA 1/0 AWG;CC2-10;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
C102;CONECTOR CUNHA 2 AWG PARA 1/0 AWG;CC2-10;RONDONIA;MATERIAL;90487;CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL;1.0;1.0;
;CONECTOR CUNHA 2 AWG PARA 1/0 AWG;CC2-10;RONDONIA;MATERIAL;90791;CONECTOR CUNHA ALUM CN-10 8,23-14,53/4,11-11,79MM AZL;1.0;1.0;
;CONECTOR CUNHA 2 AWG PARA 2 AWG;CC2-2;RONDONIA;MAO-DE-OBRA;1118;Conexão Tipo com Cunha, por peça.;1.0;1.0;
